Time_ms,CH1_Biceps_mV,CH2_Triceps_mV,CH3_Flexor_mV,CH4_Extensor_mV,Gesture_Label,Syntiant_NDP120_Inference_Conf
27.00,0.3704,-0.3682,-0.5405,-0.1221,REST_POSE,0.985
27.50,0.3076,-0.3775,-0.4923,-0.1194,REST_POSE,0.985
28.00,0.2983,-0.4158,-0.5444,-0.0800,REST_POSE,0.985
28.50,0.2342,-0.3940,-0.5199,-0.0719,REST_POSE,0.985
29.00,0.2357,-0.3925,-0.5234,-0.0337,REST_POSE,0.985
29.50,0.1610,-0.4028,-0.5192,0.0320,REST_POSE,0.985
30.00,0.1171,-0.4386,-0.5700,0.0152,REST_POSE,0.985
30.50,0.0598,-0.3965,-0.5404,0.0643,REST_POSE,0.985
31.00,0.0411,-0.4466,-0.5155,0.1188,REST_POSE,0.985
31.50,-0.0552,-0.4451,-0.5002,0.1131,REST_POSE,0.985
32.00,-0.0299,-0.4231,-0.5390,0.1302,REST_POSE,0.985
32.50,-0.0978,-0.4032,-0.4725,0.1893,REST_POSE,0.985
33.00,-0.1275,-0.3880,-0.4845,0.2028,REST_POSE,0.985
33.50,-0.1342,-0.4057,-0.4083,0.2112,REST_POSE,0.985
34.00,-0.2616,-0.4323,-0.4330,0.2250,REST_POSE,0.985
34.50,-0.2864,-0.4010,-0.3557,0.2713,REST_POSE,0.985
35.00,-0.2529,-0.4180,-0.3215,0.2678,REST_POSE,0.985
35.50,-0.2981,-0.3939,-0.3295,0.3131,REST_POSE,0.985
36.00,-0.3696,-0.3693,-0.2973,0.3054,REST_POSE,0.985
36.50,-0.4295,-0.3847,-0.2056,0.3263,REST_POSE,0.985
37.00,-0.4553,-0.3535,-0.1757,0.3750,REST_POSE,0.985
37.50,-0.4885,-0.3571,-0.1735,0.3624,REST_POSE,0.985
38.00,-0.4935,-0.3223,-0.0943,0.3976,REST_POSE,0.985
38.50,-0.5320,-0.2967,-0.0295,0.3647,REST_POSE,0.985
39.00,-0.6098,-0.3247,-0.0407,0.3783,REST_POSE,0.985
39.50,-0.6104,-0.2699,0.0278,0.4040,REST_POSE,0.985
40.00,-0.6187,-0.2511,0.0989,0.3932,REST_POSE,0.985
40.50,-0.7171,-0.2295,0.1320,0.3992,REST_POSE,0.985
41.00,-0.7249,-0.2199,0.1281,0.3712,REST_POSE,0.985
41.50,-0.6738,-0.2146,0.1934,0.3584,REST_POSE,0.985
42.00,-0.7117,-0.2201,0.2402,0.3502,REST_POSE,0.985
42.50,-0.7736,-0.1919,0.2835,0.3010,REST_POSE,0.985
43.00,-0.7404,-0.1770,0.2844,0.3200,REST_POSE,0.985
43.50,-0.8134,-0.1398,0.3169,0.3233,REST_POSE,0.985
44.00,-0.8200,-0.1576,0.3406,0.2539,REST_POSE,0.985
44.50,-0.7929,-0.0910,0.4360,0.2285,REST_POSE,0.985
45.00,-0.8741,-0.0733,0.4540,0.2352,REST_POSE,0.985
45.50,-0.8824,-0.0451,0.4850,0.1830,REST_POSE,0.985
46.00,-0.8711,-0.0184,0.5176,0.1827,REST_POSE,0.985
46.50,-0.8077,-0.0449,0.4820,0.1480,REST_POSE,0.985
47.00,-0.8889,0.0220,0.5294,0.1224,REST_POSE,0.985
47.50,-0.8164,0.0252,0.4952,0.1019,REST_POSE,0.985
48.00,-0.8737,0.0578,0.5257,0.0720,REST_POSE,0.985
48.50,-0.8444,0.0315,0.5631,0.0455,REST_POSE,0.985
49.00,-0.8673,0.1024,0.5875,0.0274,REST_POSE,0.985
49.50,-0.8463,0.0696,0.5656,-0.0217,REST_POSE,0.985
50.00,-0.7710,0.0933,0.5744,-0.0287,REST_POSE,0.985
50.50,-0.7711,0.1376,0.5476,-0.1037,REST_POSE,0.985
51.00,-0.7435,0.1722,0.5031,-0.1425,REST_POSE,0.985
51.50,-0.7356,0.1902,0.4828,-0.1299,REST_POSE,0.985
52.00,-0.7846,0.1894,0.5254,-0.1551,REST_POSE,0.985
52.50,-0.7670,0.1983,0.4535,-0.1824,REST_POSE,0.985
53.00,-0.7381,0.2299,0.4396,-0.2037,REST_POSE,0.985
53.50,-0.6867,0.2686,0.3789,-0.2743,REST_POSE,0.985
54.00,-0.6714,0.2935,0.3502,-0.2441,REST_POSE,0.985
54.50,-0.6181,0.2735,0.3215,-0.2801,REST_POSE,0.985
55.00,-0.6134,0.2792,0.3413,-0.3363,REST_POSE,0.985
55.50,-0.5231,0.3205,0.2797,-0.3169,REST_POSE,0.985
56.00,-0.4951,0.3433,0.2660,-0.3534,REST_POSE,0.985
56.50,-0.5502,0.3632,0.2328,-0.3279,REST_POSE,0.985
57.00,-0.4693,0.3780,0.1394,-0.3345,REST_POSE,0.985
57.50,-0.4430,0.3917,0.1393,-0.3985,REST_POSE,0.985
58.00,-0.3652,0.3522,0.1107,-0.3816,REST_POSE,0.985
58.50,-0.3781,0.3682,0.0440,-0.3765,REST_POSE,0.985
59.00,-0.2742,0.3925,-0.0092,-0.3947,REST_POSE,0.985
59.50,-0.2603,0.4245,-0.0755,-0.3804,REST_POSE,0.985
60.00,-0.2857,0.4104,-0.1061,-0.3938,REST_POSE,0.985
60.50,-0.1594,0.4291,-0.1057,-0.3869,REST_POSE,0.985
61.00,-0.1330,0.4202,-0.1727,-0.3311,REST_POSE,0.985
61.50,-0.0719,0.4397,-0.1918,-0.3467,REST_POSE,0.985
62.00,-0.0913,0.4325,-0.2930,-0.3175,REST_POSE,0.985
62.50,-0.0627,0.4009,-0.2648,-0.3372,REST_POSE,0.985
63.00,0.0502,0.3932,-0.3399,-0.3167,REST_POSE,0.985
63.50,0.0817,0.4141,-0.3300,-0.2798,REST_POSE,0.985
64.00,0.0573,0.4083,-0.4297,-0.2694,REST_POSE,0.985
64.50,0.1757,0.4316,-0.4166,-0.2167,REST_POSE,0.985
65.00,0.2001,0.4146,-0.4593,-0.2421,REST_POSE,0.985
65.50,0.1870,0.3832,-0.4646,-0.1961,REST_POSE,0.985
66.00,0.2392,0.3713,-0.5051,-0.1391,REST_POSE,0.985
66.50,0.2696,0.3924,-0.5428,-0.1090,REST_POSE,0.985
67.00,0.3694,0.3613,-0.4941,-0.0929,REST_POSE,0.985
67.50,0.3337,0.3719,-0.5463,-0.0869,REST_POSE,0.985
68.00,0.3810,0.3638,-0.5112,-0.0446,REST_POSE,0.985
68.50,0.4694,0.3705,-0.5248,-0.0327,REST_POSE,0.985
69.00,0.4676,0.3585,-0.5770,0.0146,REST_POSE,0.985
69.50,0.5108,0.3561,-0.5540,0.0463,REST_POSE,0.985
70.00,0.5150,0.3212,-0.5064,0.0669,REST_POSE,0.985
70.50,0.5788,0.2908,-0.4942,0.1281,REST_POSE,0.985
71.00,0.6562,0.2775,-0.4792,0.1388,REST_POSE,0.985
71.50,0.6456,0.2938,-0.5165,0.1497,REST_POSE,0.985
72.00,0.6363,0.2475,-0.4818,0.1611,REST_POSE,0.985
72.50,0.6997,0.2576,-0.4839,0.2022,REST_POSE,0.985
73.00,0.7604,0.1965,-0.4438,0.2290,REST_POSE,0.985
73.50,0.7938,0.1818,-0.3813,0.2587,REST_POSE,0.985
74.00,0.7425,0.2097,-0.3516,0.3124,REST_POSE,0.985
74.50,0.7829,0.1835,-0.3133,0.3315,REST_POSE,0.985
75.00,0.8383,0.1483,-0.2783,0.2934,REST_POSE,0.985
75.50,0.8152,0.1541,-0.2623,0.3071,REST_POSE,0.985
76.00,0.8091,0.1226,-0.2424,0.3373,REST_POSE,0.985
76.50,0.8733,0.1090,-0.2086,0.3467,REST_POSE,0.985
77.00,0.8787,0.0723,-0.1284,0.3782,REST_POSE,0.985
77.50,0.8785,0.0397,-0.1303,0.3675,REST_POSE,0.985
78.00,0.8043,0.0089,-0.0336,0.3487,REST_POSE,0.985
78.50,0.8244,0.0135,0.0068,0.3947,REST_POSE,0.985
79.00,0.8930,-0.0455,0.0102,0.4005,REST_POSE,0.985
79.50,0.8590,-0.0182,0.0665,0.3902,REST_POSE,0.985
80.00,0.8514,-0.0647,0.1179,0.3535,REST_POSE,0.985
80.50,0.7978,-0.1019,0.1515,0.3328,REST_POSE,0.985
81.00,0.8184,-0.0797,0.2341,0.3251,REST_POSE,0.985
81.50,0.8581,-0.1084,0.2704,0.3312,REST_POSE,0.985
82.00,0.7757,-0.1185,0.3238,0.3244,REST_POSE,0.985
82.50,0.8042,-0.1891,0.3316,0.2789,REST_POSE,0.985
83.00,0.7197,-0.1937,0.3433,0.2727,REST_POSE,0.985
83.50,0.7176,-0.1839,0.3574,0.2924,REST_POSE,0.985
84.00,0.6857,-0.1926,0.3864,0.2541,REST_POSE,0.985
84.50,0.6599,-0.2258,0.4374,0.2345,REST_POSE,0.985
85.00,0.6565,-0.2519,0.4976,0.1860,REST_POSE,0.985
85.50,0.6411,-0.2412,0.4687,0.1597,REST_POSE,0.985
86.00,0.5769,-0.2763,0.5509,0.1420,REST_POSE,0.985
86.50,0.5700,-0.2981,0.5124,0.1361,REST_POSE,0.985
87.00,0.5583,-0.3139,0.5218,0.0844,REST_POSE,0.985
87.50,0.5180,-0.3531,0.5467,0.0342,REST_POSE,0.985
88.00,0.5425,-0.3305,0.5135,0.0075,REST_POSE,0.985
88.50,0.4675,-0.3400,0.5847,-0.0328,REST_POSE,0.985
89.00,0.4080,-0.3650,0.5622,-0.0274,REST_POSE,0.985
89.50,0.4259,-0.3635,0.5435,-0.0731,REST_POSE,0.985
90.00,0.3309,-0.3800,0.4989,-0.0865,REST_POSE,0.985
90.50,0.3324,-0.4156,0.5563,-0.1202,REST_POSE,0.985
91.00,0.2753,-0.3944,0.5049,-0.1463,REST_POSE,0.985
91.50,0.2778,-0.4286,0.4562,-0.1972,REST_POSE,0.985
92.00,0.1541,-0.4163,0.4257,-0.1852,REST_POSE,0.985
92.50,0.0997,-0.4257,0.4398,-0.2242,REST_POSE,0.985
93.00,0.1500,-0.4125,0.4240,-0.2520,REST_POSE,0.985
93.50,0.1099,-0.4217,0.3863,-0.3066,REST_POSE,0.985
94.00,-0.0034,-0.4012,0.3765,-0.2768,REST_POSE,0.985
94.50,0.0206,-0.4122,0.2805,-0.3081,REST_POSE,0.985
95.00,-0.0609,-0.4129,0.2928,-0.3132,REST_POSE,0.985
95.50,-0.1544,-0.4029,0.2277,-0.3251,REST_POSE,0.985
96.00,-0.1525,-0.3939,0.1754,-0.3824,REST_POSE,0.985
96.50,-0.2271,-0.3946,0.1675,-0.3393,REST_POSE,0.985
97.00,-0.2155,-0.4018,0.1072,-0.3672,REST_POSE,0.985
97.50,-0.3193,-0.3925,0.0256,-0.3527,REST_POSE,0.985
98.00,-0.2928,-0.3651,-0.0221,-0.4008,REST_POSE,0.985
98.50,-0.3556,-0.3846,-0.0357,-0.3800,REST_POSE,0.985
99.00,-0.4122,-0.3706,-0.1123,-0.3749,REST_POSE,0.985
99.50,-0.3842,-0.3580,-0.1116,-0.3799,REST_POSE,0.985
100.00,-0.4846,-0.3388,-0.1378,-0.3421,REST_POSE,0.985
100.50,-0.4877,-0.3417,-0.2291,-0.3408,REST_POSE,0.985
101.00,-0.5714,-0.3011,-0.2659,-0.3670,REST_POSE,0.985
101.50,-0.5626,-0.3330,-0.2944,-0.3366,REST_POSE,0.985
102.00,-0.6061,-0.2768,-0.3234,-0.3357,REST_POSE,0.985
102.50,-0.6676,-0.2701,-0.3317,-0.2665,REST_POSE,0.985
103.00,-0.6632,-0.2428,-0.4123,-0.2617,REST_POSE,0.985
103.50,-0.7207,-0.2511,-0.4374,-0.2247,REST_POSE,0.985
104.00,-0.7269,-0.2216,-0.4721,-0.2459,REST_POSE,0.985
104.50,-0.7048,-0.2406,-0.4348,-0.2217,REST_POSE,0.985
105.00,-0.7707,-0.1845,-0.5111,-0.1912,REST_POSE,0.985
105.50,-0.7890,-0.2030,-0.4847,-0.1511,REST_POSE,0.985
106.00,-0.8230,-0.1697,-0.4983,-0.1141,REST_POSE,0.985
106.50,-0.8389,-0.1512,-0.5669,-0.0882,REST_POSE,0.985
107.00,-0.7877,-0.1210,-0.5452,-0.0458,REST_POSE,0.985
107.50,-0.7892,-0.1131,-0.5435,-0.0314,REST_POSE,0.985
108.00,-0.7919,-0.0983,-0.5805,-0.0088,REST_POSE,0.985
108.50,-0.8375,-0.0649,-0.5730,0.0091,REST_POSE,0.985
109.00,-0.8427,-0.0425,-0.5411,0.0765,REST_POSE,0.985
109.50,-0.8808,0.0051,-0.5309,0.1164,REST_POSE,0.985
110.00,-0.8931,0.0021,-0.5470,0.1130,REST_POSE,0.985
110.50,-0.8122,0.0399,-0.4905,0.1387,REST_POSE,0.985
111.00,-0.8004,0.0529,-0.4970,0.1807,REST_POSE,0.985
111.50,-0.7962,0.0361,-0.4550,0.2003,REST_POSE,0.985
112.00,-0.8206,0.0892,-0.4288,0.2520,REST_POSE,0.985
112.50,-0.7910,0.1050,-0.4299,0.2522,REST_POSE,0.985
113.00,-0.7911,0.0986,-0.4099,0.2520,REST_POSE,0.985
113.50,-0.8401,0.1583,-0.3369,0.3017,REST_POSE,0.985
114.00,-0.8023,0.1460,-0.3212,0.3223,REST_POSE,0.985
114.50,-0.7733,0.1662,-0.3144,0.3004,REST_POSE,0.985
115.00,-0.7903,0.1930,-0.2664,0.3562,REST_POSE,0.985
115.50,-0.7126,0.2362,-0.1973,0.3756,REST_POSE,0.985
116.00,-0.6839,0.2181,-0.1901,0.3432,REST_POSE,0.985
116.50,-0.6514,0.2679,-0.1349,0.3977,REST_POSE,0.985
117.00,-0.6683,0.2751,-0.0958,0.3860,REST_POSE,0.985
117.50,-0.6352,0.2902,-0.0055,0.4028,REST_POSE,0.985
118.00,-0.6057,0.3257,0.0335,0.3735,REST_POSE,0.985
118.50,-0.5248,0.3325,0.0723,0.3944,REST_POSE,0.985
119.00,-0.5361,0.3292,0.1142,0.3759,REST_POSE,0.985
119.50,-0.5249,0.3570,0.1614,0.3597,REST_POSE,0.985
120.00,-0.4600,0.3829,0.1524,0.3754,REST_POSE,0.985
120.50,-0.3927,0.3522,0.2176,0.3378,REST_POSE,0.985
121.00,-0.3932,0.3713,0.2334,0.3183,REST_POSE,0.985
121.50,-0.3583,0.3839,0.2781,0.2987,REST_POSE,0.985
122.00,-0.2783,0.4155,0.3528,0.2853,REST_POSE,0.985
122.50,-0.2918,0.4136,0.3863,0.2686,REST_POSE,0.985
123.00,-0.1759,0.4146,0.4451,0.2518,REST_POSE,0.985
123.50,-0.1693,0.3865,0.4420,0.2115,REST_POSE,0.985
124.00,-0.1381,0.4094,0.4419,0.2233,REST_POSE,0.985
124.50,-0.0917,0.4290,0.4747,0.1982,REST_POSE,0.985
125.00,-0.0942,0.4320,0.4989,0.1355,REST_POSE,0.985
125.50,-0.0131,0.4000,0.5212,0.0988,REST_POSE,0.985
126.00,0.0138,0.4155,0.5709,0.1039,REST_POSE,0.985
126.50,0.0870,0.4202,0.5653,0.0472,REST_POSE,0.985
127.00,0.1317,0.3872,0.5865,0.0652,REST_POSE,0.985
127.50,0.1954,0.4244,0.5615,-0.0030,REST_POSE,0.985
128.00,0.1609,0.3872,0.5791,-0.0435,REST_POSE,0.985
128.50,0.2644,0.4062,0.5682,-0.0806,REST_POSE,0.985
129.00,0.2293,0.3920,0.5350,-0.1070,REST_POSE,0.985
129.50,0.2816,0.4170,0.5339,-0.1363,REST_POSE,0.985
130.00,0.3363,0.4107,0.5177,-0.1148,REST_POSE,0.985
130.50,0.3495,0.3452,0.5171,-0.1833,REST_POSE,0.985
131.00,0.4817,0.3832,0.5016,-0.1924,REST_POSE,0.985
131.50,0.4951,0.3603,0.4220,-0.2319,REST_POSE,0.985
132.00,0.4967,0.3131,0.4090,-0.2445,REST_POSE,0.985
132.50,0.5781,0.3491,0.3955,-0.2390,REST_POSE,0.985
133.00,0.5841,0.3034,0.3568,-0.2703,REST_POSE,0.985
133.50,0.6406,0.3196,0.3278,-0.3006,REST_POSE,0.985
134.00,0.6056,0.2864,0.2579,-0.3376,REST_POSE,0.985
134.50,0.6942,0.2378,0.2457,-0.3107,REST_POSE,0.985
135.00,0.6599,0.2744,0.1713,-0.3674,REST_POSE,0.985
135.50,0.7494,0.2551,0.1887,-0.3704,REST_POSE,0.985
136.00,0.7073,0.2225,0.1042,-0.3588,REST_POSE,0.985
136.50,0.7364,0.2118,0.1029,-0.3678,REST_POSE,0.985
137.00,0.7670,0.1980,0.0415,-0.3740,REST_POSE,0.985
137.50,0.8258,0.1545,0.0211,-0.3689,REST_POSE,0.985
138.00,0.8389,0.1613,-0.0093,-0.3968,REST_POSE,0.985
138.50,0.8290,0.1186,-0.0724,-0.3997,REST_POSE,0.985
139.00,0.8691,0.1123,-0.0994,-0.3626,REST_POSE,0.985
139.50,0.8102,0.0638,-0.2099,-0.3780,REST_POSE,0.985
140.00,0.8835,0.0337,-0.2362,-0.3610,REST_POSE,0.985
140.50,0.8541,0.0534,-0.2290,-0.3066,REST_POSE,0.985
141.00,0.8906,-0.0017,-0.2904,-0.3223,REST_POSE,0.985
141.50,0.8525,-0.0283,-0.3574,-0.3289,REST_POSE,0.985
142.00,0.8243,0.0000,-0.3363,-0.3103,REST_POSE,0.985
142.50,0.8097,-0.0360,-0.4236,-0.2382,REST_POSE,0.985
143.00,0.8376,-0.0861,-0.4404,-0.2498,REST_POSE,0.985
143.50,0.8690,-0.1080,-0.4765,-0.2340,REST_POSE,0.985
144.00,0.8341,-0.0958,-0.5122,-0.1824,REST_POSE,0.985
144.50,0.7878,-0.1409,-0.4858,-0.1385,REST_POSE,0.985
145.00,0.8066,-0.1511,-0.4989,-0.1403,REST_POSE,0.985
145.50,0.7370,-0.1441,-0.5017,-0.0911,REST_POSE,0.985
146.00,0.7321,-0.1872,-0.5134,-0.0470,REST_POSE,0.985
146.50,0.7731,-0.2087,-0.5848,-0.0376,REST_POSE,0.985
147.00,0.6848,-0.2269,-0.5231,0.0124,REST_POSE,0.985
147.50,0.7363,-0.2203,-0.5557,0.0069,REST_POSE,0.985
148.00,0.6870,-0.2408,-0.5855,0.0581,REST_POSE,0.985
148.50,0.5996,-0.2904,-0.5260,0.0588,REST_POSE,0.985
149.00,0.6025,-0.2897,-0.5383,0.1215,REST_POSE,0.985
149.50,0.6226,-0.2936,-0.4880,0.1486,REST_POSE,0.985
150.00,0.5139,-0.3004,-0.4613,0.1707,REST_POSE,0.985
150.50,0.4710,-0.3453,-0.4498,0.1902,POWER_GRIP,0.942
151.00,0.5297,-0.3157,-0.4836,0.2370,POWER_GRIP,0.942
151.50,0.4107,-0.3606,-0.4163,0.2205,POWER_GRIP,0.942
152.00,0.4389,-0.3945,-0.3969,0.2595,POWER_GRIP,0.942
152.50,0.4013,-0.4020,-0.3849,0.2757,POWER_GRIP,0.942
153.00,0.3420,-0.3848,-0.2981,0.3066,POWER_GRIP,0.942
153.50,0.2874,-0.3709,-0.3244,0.3034,POWER_GRIP,0.942
154.00,0.2222,-0.4059,-0.2826,0.3274,POWER_GRIP,0.942
154.50,0.1965,-0.3909,-0.2135,0.3578,POWER_GRIP,0.942
155.00,0.1434,-0.4242,-0.1730,0.3300,POWER_GRIP,0.942
155.50,0.1360,-0.4375,-0.1171,0.3791,POWER_GRIP,0.942
156.00,0.1218,-0.4346,-0.0929,0.3718,POWER_GRIP,0.942
156.50,0.0952,-0.4434,-0.0578,0.3655,POWER_GRIP,0.942
157.00,-0.0185,-0.4206,-0.0461,0.3936,POWER_GRIP,0.942
157.50,-0.0202,-0.4216,0.0320,0.4077,POWER_GRIP,0.942
158.00,-0.0688,-0.4314,0.0767,0.3833,POWER_GRIP,0.942
158.50,-0.1556,-0.4196,0.1065,0.3768,POWER_GRIP,0.942
159.00,-0.1567,-0.3982,0.1711,0.3342,POWER_GRIP,0.942
159.50,-0.2039,-0.3781,0.2370,0.3275,POWER_GRIP,0.942
160.00,-0.2763,-0.4203,0.2116,0.3116,POWER_GRIP,0.942
160.50,-0.2781,-0.4070,0.3149,0.3127,POWER_GRIP,0.942
161.00,-0.3692,-0.3926,0.3458,0.3371,POWER_GRIP,0.942
161.50,-0.3832,-0.3886,0.3200,0.2765,POWER_GRIP,0.942
162.00,-0.4238,-0.3497,0.4222,0.2831,POWER_GRIP,0.942
162.50,-0.4760,-0.3354,0.4094,0.2292,POWER_GRIP,0.942
163.00,-0.4729,-0.3433,0.4660,0.1972,POWER_GRIP,0.942
163.50,-0.4791,-0.3480,0.4793,0.1950,POWER_GRIP,0.942
164.00,-0.5537,-0.3148,0.4640,0.1568,POWER_GRIP,0.942
164.50,-0.5555,-0.2940,0.5247,0.1674,POWER_GRIP,0.942
165.00,-0.5673,-0.2960,0.5643,0.1014,POWER_GRIP,0.942
165.50,-0.5906,-0.2559,0.5341,0.0573,POWER_GRIP,0.942
166.00,-0.6355,-0.2799,0.5752,0.0398,POWER_GRIP,0.942
166.50,-0.6488,-0.2438,0.5403,-0.0000,POWER_GRIP,0.942
167.00,-0.7484,-0.2171,0.5869,-0.0106,POWER_GRIP,0.942
167.50,-0.6923,-0.2189,0.5706,-0.0248,POWER_GRIP,0.942
168.00,-0.7134,-0.1718,0.5756,-0.0385,POWER_GRIP,0.942
168.50,-0.7951,-0.1735,0.5395,-0.1061,POWER_GRIP,0.942
169.00,-0.7624,-0.1789,0.5252,-0.1436,POWER_GRIP,0.942
169.50,-0.8214,-0.1377,0.5356,-0.1353,POWER_GRIP,0.942
170.00,-0.8199,-0.1251,0.4840,-0.1917,POWER_GRIP,0.942
170.50,-0.8537,-0.0729,0.4249,-0.1785,POWER_GRIP,0.942
171.00,-0.8651,-0.0496,0.4149,-0.2028,POWER_GRIP,0.942
171.50,-0.8560,-0.0823,0.4471,-0.2394,POWER_GRIP,0.942
172.00,-0.7982,-0.0602,0.3677,-0.2484,POWER_GRIP,0.942
172.50,-0.8852,-0.0145,0.3634,-0.2990,POWER_GRIP,0.942
173.00,-0.8844,0.0219,0.2874,-0.3031,POWER_GRIP,0.942
173.50,-0.8565,0.0351,0.2465,-0.3249,POWER_GRIP,0.942
174.00,-0.8908,0.0306,0.1971,-0.3485,POWER_GRIP,0.942
174.50,-0.8232,0.0924,0.2180,-0.3520,POWER_GRIP,0.942
175.00,-0.7968,0.0704,0.1547,-0.3806,POWER_GRIP,0.942
175.50,-0.7843,0.0894,0.0903,-0.3835,POWER_GRIP,0.942
176.00,-0.8090,0.1214,0.0755,-0.3526,POWER_GRIP,0.942
176.50,-0.7639,0.1566,0.0176,-0.3909,POWER_GRIP,0.942
177.00,-0.8194,0.1850,-0.0067,-0.3967,POWER_GRIP,0.942
177.50,-0.7968,0.1613,-0.0509,-0.3873,POWER_GRIP,0.942
178.00,-0.7399,0.2294,-0.0796,-0.3927,POWER_GRIP,0.942
178.50,-0.6691,0.1991,-0.1192,-0.3828,POWER_GRIP,0.942
179.00,-0.6782,0.2358,-0.1813,-0.3332,POWER_GRIP,0.942
179.50,-0.6398,0.2832,-0.2386,-0.3259,POWER_GRIP,0.942
180.00,-0.6187,0.3023,-0.2498,-0.3290,POWER_GRIP,0.942
180.50,-0.5946,0.3003,-0.2942,-0.2973,POWER_GRIP,0.942
181.00,-0.5406,0.3333,-0.3816,-0.3047,POWER_GRIP,0.942
181.50,-0.5444,0.2924,-0.3785,-0.2670,POWER_GRIP,0.942
182.00,-0.5535,0.3322,-0.4436,-0.2358,POWER_GRIP,0.942
182.50,-0.4590,0.3191,-0.4732,-0.2470,POWER_GRIP,0.942
183.00,-0.4747,0.3864,-0.4563,-0.2093,POWER_GRIP,0.942
183.50,-0.4495,0.3657,-0.4503,-0.1485,POWER_GRIP,0.942
184.00,-0.3202,0.3509,-0.5006,-0.1441,POWER_GRIP,0.942
184.50,-0.3640,0.4045,-0.5362,-0.1014,POWER_GRIP,0.942
